Employee_ID,Department,Location,Employment_Type,Shift_Type,Job_Level,Tenure_Months,Base_Salary,HRA,Allowances,Bonus,Overtime_Hours,Leaves_Taken,Sick_Leaves,Casual_Leaves,Late_Logins,Early_Logouts,Missed_Punches,Attendance_Variance,Salary_Change_Pct,Salary_Change_Count_6M,Performance_Rating,Training_Hours,Engagement_Score,Manual_Payroll_Edits,Policy_Violations,Previous_Audit_Flags,Manager_Changes,Remote_Work_Days,Travel_Days,Risk_Score,High_Risk
8001,Support,Bangalore,Full-Time,Rotational,3,49,44308,18394,6190,0,11,7,2,5,4,2,4,0.13,0.2,3,2,24,3.49,0,1,0,1,1,5,0.093324373,0
8002,Support,Chennai,Full-Time,Rotational,4,1,53110,19635,8882,0,5,4,4,0,2,1,2,0.08,25,2,4,20,4.42,1,3,0,2,1,5,0.245696187,0
8003,IT,Chennai,Full-Time,Rotational,6,44,56201,21978,3293,0,11,6,3,0,4,6,0,0.22,7,3,2,11,2.54,0,0,1,2,2,2,0.148397176,0
8004,Finance,Bangalore,Full-Time,Rotational,4,29,57154,24019,2518,0,15,0,4,2,7,0,1,0.21,12.4,0,3,21,4.25,0,3,0,1,0,0,0.234437699,0
8005,Finance,Bangalore,Full-Time,Night,1,41,29504,10646,5559,15000,6,0,2,4,1,1,0,0.27,-8.7,3,5,4,3.46,3,1,1,0,3,0,0.164387713,0
8006,IT,Mumbai,Contract,Rotational,1,35,27489,9611,4989,10000,8,0,2,0,0,6,0,0.11,4.5,2,2,15,3.43,3,0,1,2,3,0,0.261765282,0
8007,Admin,Mumbai,Intern,Night,5,24,61287,27561,3867,0,6,4,4,0,8,5,3,,9.4,2,3,6,4.35,2,1,1,0,5,2,0.405964231,1
8008,Admin,Pune,Full-Time,Day,1,26,33562,11397,5557,15000,13,2,3,2,6,4,2,0.17,12.1,2,3,29,4.43,1,1,0,0,1,0,0.128434355,0
8009,HR,Pune,Contract,Day,6,56,59845,25508,5886,10000,10,5,2,0,6,0,1,0.29,3.1,0,4,24,2.52,3,0,0,0,4,0,0.1342446,0
8010,Operations,Mumbai,Full-Time,Rotational,6,56,66874,27414,6563,0,2,0,2,0,3,3,1,0.05,-12.9,1,5,30,4.74,2,1,1,2,2,2,0.225093217,0
8011,Support,Mumbai,Intern,Day,6,40,73267,28940,5447,15000,9,0,3,2,3,3,4,0.25,3.8,0,4,20,4.72,1,1,0,2,4,8,0.087271933,0
8012,Admin,Bangalore,Contract,Night,3,54,41953,16071,4608,0,5,4,1,5,5,0,0,0.27,40,1,2,16,4.12,2,0,0,0,2,0,0.274900064,0
